date,scenario_type,success_rate
2022-12-23,1,100.0
2022-12-23,2,80.0
2022-12-23,3,100.0
2022-12-23,4,20.0
2022-12-23,5,88.88888888888889
2022-12-23,6,77.77777777777779
2022-12-23,7,100.0
2022-12-23,8,100.0
2022-12-23,9,88.88888888888889
2022-12-23,11,33.33333333333333
2022-12-23,12,100.0
2022-12-23,13,100.0
2022-12-23,14,66.66666666666666
2022-12-23,15,88.88888888888889
2022-12-23,16,44.44444444444444
2022-12-23,17,44.44444444444444
2022-12-23,18,50.0
2022-12-23,19,44.44444444444444
2022-12-23,10,62.5
2022-12-24,5,100.0
2022-12-24,6,92.5
2022-12-24,7,95.0
2022-12-24,8,97.5
2022-12-24,9,92.5
2022-12-24,10,43.24324324324324
2022-12-24,11,65.78947368421053
2022-12-24,12,95.0
2022-12-24,13,92.5
2022-12-24,14,92.3076923076923
2022-12-24,15,87.5
2022-12-24,16,30.76923076923077
2022-12-24,17,50.0
2022-12-24,18,42.10526315789473
2022-12-24,19,41.02564102564102
2022-12-24,1,100.0
2022-12-24,2,89.74358974358975
2022-12-24,3,87.17948717948718
2022-12-24,4,21.62162162162162
2022-12-25,18,33.33333333333333
2022-12-25,19,53.65853658536586
2022-12-25,1,100.0
2022-12-25,2,90.2439024390244
2022-12-25,3,90.0
2022-12-25,4,40.54054054054054
2022-12-25,5,97.5
2022-12-25,6,92.6829268292683
2022-12-25,7,90.2439024390244
2022-12-25,8,100.0
2022-12-25,9,97.5609756097561
2022-12-25,10,51.21951219512195
2022-12-25,11,70.73170731707317
2022-12-25,12,97.5
2022-12-25,13,100.0
2022-12-25,14,95.0
2022-12-25,15,87.17948717948718
2022-12-25,16,35.0
2022-12-25,17,53.84615384615385
2022-12-26,12,97.5
2022-12-26,13,97.5
2022-12-26,14,90.0
2022-12-26,15,84.61538461538461
2022-12-26,16,42.5
2022-12-26,17,57.89473684210527
2022-12-26,18,48.717948717948715
2022-12-26,19,47.5
2022-12-26,1,100.0
2022-12-26,2,92.5
2022-12-26,3,90.0
2022-12-26,4,30.0
2022-12-26,5,92.5
2022-12-26,6,95.0
2022-12-26,7,100.0
2022-12-26,8,97.43589743589743
2022-12-26,9,100.0
2022-12-26,10,35.8974358974359
2022-12-26,11,52.63157894736842
2022-12-27,8,95.1219512195122
2022-12-27,9,95.1219512195122
2022-12-27,10,57.49999999999999
2022-12-27,11,65.0
2022-12-27,12,95.1219512195122
2022-12-27,13,97.5609756097561
2022-12-27,14,85.36585365853658
2022-12-27,15,86.8421052631579
2022-12-27,16,63.1578947368421
2022-12-27,17,65.0
2022-12-27,18,57.49999999999999
2022-12-27,19,66.66666666666666
2022-12-27,1,100.0
2022-12-27,2,85.0
2022-12-27,3,90.0
2022-12-27,4,47.5
2022-12-27,5,100.0
2022-12-27,6,92.5
2022-12-27,7,95.0
2022-12-28,15,92.85714285714286
2022-12-28,16,88.09523809523809
2022-12-28,17,78.57142857142857
2022-12-28,18,88.09523809523809
2022-12-28,19,83.33333333333334
2022-12-28,1,100.0
2022-12-28,2,90.47619047619048
2022-12-28,3,95.23809523809523
2022-12-28,4,73.80952380952381
2022-12-28,5,95.23809523809523
2022-12-28,6,97.5609756097561
2022-12-28,7,95.1219512195122
2022-12-28,8,97.5609756097561
2022-12-28,9,90.2439024390244
2022-12-28,10,80.48780487804879
2022-12-28,11,82.5
2022-12-28,12,97.5609756097561
2022-12-28,13,97.5609756097561
2022-12-28,14,95.1219512195122
2022-12-29,6,92.85714285714286
2022-12-29,7,95.23809523809523
2022-12-29,8,100.0
2022-12-29,9,92.85714285714286
2022-12-29,10,92.85714285714286
2022-12-29,11,95.23809523809523
2022-12-29,12,100.0
2022-12-29,13,97.5609756097561
2022-12-29,14,90.0
2022-12-29,15,92.5
2022-12-29,16,92.6829268292683
2022-12-29,17,85.0
2022-12-29,18,95.1219512195122
2022-12-29,19,87.8048780487805
2022-12-29,1,100.0
2022-12-29,2,92.6829268292683
2022-12-29,3,97.5609756097561
2022-12-29,4,87.5
2022-12-29,5,97.5609756097561
2022-12-30,13,100.0
2022-12-30,14,90.47619047619048
2022-12-30,15,95.23809523809523
2022-12-30,16,97.61904761904762
2022-12-30,17,92.6829268292683
2022-12-30,18,92.85714285714286
2022-12-30,19,97.5609756097561
2022-12-30,1,100.0
2022-12-30,2,85.71428571428571
2022-12-30,3,97.61904761904762
2022-12-30,4,92.85714285714286
2022-12-30,5,100.0
2022-12-30,6,83.33333333333334
2022-12-30,7,97.61904761904762
2022-12-30,8,97.5
2022-12-30,9,100.0
2022-12-30,10,97.5609756097561
2022-12-30,11,95.1219512195122
2022-12-30,12,92.6829268292683
2022-12-31,8,97.67441860465115
2022-12-31,9,90.69767441860465
2022-12-31,10,93.02325581395348
2022-12-31,11,95.34883720930233
2022-12-31,12,97.67441860465115
2022-12-31,13,100.0
2022-12-31,14,93.02325581395348
2022-12-31,15,95.23809523809523
2022-12-31,16,90.47619047619048
2022-12-31,17,97.5609756097561
2022-12-31,18,97.5609756097561
2022-12-31,19,85.71428571428571
2022-12-31,1,100.0
2022-12-31,2,88.09523809523809
2022-12-31,3,90.47619047619048
2022-12-31,4,90.2439024390244
2022-12-31,5,97.61904761904762
2022-12-31,6,87.8048780487805
2022-12-31,7,92.85714285714286
2023-01-01,15,95.34883720930233
2023-01-01,16,83.72093023255815
2023-01-01,17,93.02325581395348
2023-01-01,18,95.34883720930233
2023-01-01,19,88.37209302325581
2023-01-01,1,100.0
2023-01-01,2,93.02325581395348
2023-01-01,3,97.67441860465115
2023-01-01,4,86.04651162790698
2023-01-01,5,97.61904761904762
2023-01-01,6,100.0
2023-01-01,7,95.23809523809523
2023-01-01,8,100.0
2023-01-01,9,97.61904761904762
2023-01-01,10,92.85714285714286
2023-01-01,11,97.61904761904762
2023-01-01,12,100.0
2023-01-01,13,97.61904761904762
2023-01-01,14,95.23809523809523
2023-01-02,5,97.61904761904762
2023-01-02,6,95.23809523809523
2023-01-02,7,90.47619047619048
2023-01-02,8,97.61904761904762
2023-01-02,9,92.85714285714286
2023-01-02,10,83.33333333333334
2023-01-02,11,82.92682926829268
2023-01-02,12,92.85714285714286
2023-01-02,13,97.61904761904762
2023-01-02,14,95.23809523809523
2023-01-02,15,92.85714285714286
2023-01-02,16,80.0
2023-01-02,17,73.17073170731707
2023-01-02,18,87.8048780487805
2023-01-02,19,78.04878048780488
2023-01-02,1,100.0
2023-01-02,2,90.2439024390244
2023-01-02,3,92.6829268292683
2023-01-02,4,65.0
2023-01-03,16,71.42857142857143
2023-01-03,17,85.36585365853658
2023-01-03,18,75.0
2023-01-03,19,75.60975609756098
2023-01-03,1,100.0
2023-01-03,2,95.1219512195122
2023-01-03,3,92.6829268292683
2023-01-03,4,82.5
2023-01-03,5,92.6829268292683
2023-01-03,6,90.2439024390244
2023-01-03,7,92.6829268292683
2023-01-03,8,100.0
2023-01-03,9,95.1219512195122
2023-01-03,10,87.8048780487805
2023-01-03,11,80.48780487804879
2023-01-03,12,92.6829268292683
2023-01-03,13,95.1219512195122
2023-01-03,14,85.36585365853658
2023-01-03,15,95.1219512195122
2023-01-04,18,82.92682926829268
2023-01-04,19,75.0
2023-01-04,1,100.0
2023-01-04,2,97.43589743589743
2023-01-04,3,92.5
2023-01-04,4,76.92307692307693
2023-01-04,5,92.5
2023-01-04,6,90.0
2023-01-04,7,95.0
2023-01-04,8,95.0
2023-01-04,9,97.5
2023-01-04,10,87.17948717948718
2023-01-04,11,82.05128205128204
2023-01-04,12,94.87179487179486
2023-01-04,13,97.5
2023-01-04,14,84.61538461538461
2023-01-04,15,82.05128205128204
2023-01-04,16,79.48717948717949
2023-01-04,17,79.48717948717949
2023-01-05,19,82.5
2023-01-05,1,100.0
2023-01-05,2,80.0
2023-01-05,3,87.5
2023-01-05,4,75.0
2023-01-05,5,95.0
2023-01-05,6,89.47368421052632
2023-01-05,7,92.3076923076923
2023-01-05,8,100.0
2023-01-05,9,94.87179487179486
2023-01-05,10,82.05128205128204
2023-01-05,11,84.61538461538461
2023-01-05,12,97.43589743589743
2023-01-05,13,94.87179487179486
2023-01-05,14,79.48717948717949
2023-01-05,15,82.05128205128204
2023-01-05,16,79.48717948717949
2023-01-05,17,76.92307692307693
2023-01-05,18,76.92307692307693
2023-01-06,7,95.1219512195122
2023-01-06,8,87.8048780487805
2023-01-06,9,97.5609756097561
2023-01-06,10,85.36585365853658
2023-01-06,11,87.5
2023-01-06,12,95.1219512195122
2023-01-06,13,97.5
2023-01-06,14,87.8048780487805
2023-01-06,15,80.48780487804879
2023-01-06,16,82.92682926829268
2023-01-06,17,92.5
2023-01-06,18,70.73170731707317
2023-01-06,19,75.60975609756098
2023-01-06,1,100.0
2023-01-06,2,80.0
2023-01-06,3,95.0
2023-01-06,4,73.68421052631578
2023-01-06,5,92.5
2023-01-06,6,90.0
2023-01-07,2,82.92682926829268
2023-01-07,3,85.36585365853658
2023-01-07,4,72.5
2023-01-07,5,95.0
2023-01-07,6,92.6829268292683
2023-01-07,7,95.1219512195122
2023-01-07,8,100.0
2023-01-07,9,100.0
2023-01-07,10,92.6829268292683
2023-01-07,11,92.6829268292683
2023-01-07,12,95.1219512195122
2023-01-07,13,100.0
2023-01-07,14,92.3076923076923
2023-01-07,15,87.17948717948718
2023-01-07,16,80.0
2023-01-07,17,80.0
2023-01-07,18,77.5
2023-01-07,19,82.05128205128204
2023-01-07,1,100.0
2023-01-08,13,100.0
2023-01-08,14,92.6829268292683
2023-01-08,15,92.6829268292683
2023-01-08,16,87.8048780487805
2023-01-08,17,85.36585365853658
2023-01-08,18,87.8048780487805
2023-01-08,19,82.92682926829268
2023-01-08,1,100.0
2023-01-08,2,87.5
2023-01-08,3,95.1219512195122
2023-01-08,4,75.0
2023-01-08,5,97.5609756097561
2023-01-08,6,95.1219512195122
2023-01-08,7,95.1219512195122
2023-01-08,8,95.0
2023-01-08,9,95.0
2023-01-08,10,92.5
2023-01-08,11,90.0
2023-01-08,12,100.0
2023-01-09,8,100.0
2023-01-09,9,87.8048780487805
2023-01-09,10,70.73170731707317
2023-01-09,11,60.0
2023-01-09,12,95.1219512195122
2023-01-09,13,100.0
2023-01-09,14,87.8048780487805
2023-01-09,15,87.8048780487805
2023-01-09,16,74.35897435897436
2023-01-09,17,75.0
2023-01-09,18,75.60975609756098
2023-01-09,19,80.48780487804879
2023-01-09,1,100.0
2023-01-09,2,95.1219512195122
2023-01-09,3,82.92682926829268
2023-01-09,4,63.41463414634146
2023-01-09,5,95.0
2023-01-09,6,97.5
2023-01-09,7,97.5
2023-01-10,5,87.5
2023-01-10,6,97.5
2023-01-10,7,92.5
2023-01-10,8,94.87179487179486
2023-01-10,9,95.0
2023-01-10,10,80.0
2023-01-10,11,82.5
2023-01-10,12,97.5
2023-01-10,13,92.5
2023-01-10,14,85.0
2023-01-10,15,92.5
2023-01-10,16,69.23076923076923
2023-01-10,17,72.5
2023-01-10,18,65.0
2023-01-10,19,77.5
2023-01-10,1,100.0
2023-01-10,2,90.0
2023-01-10,3,90.0
2023-01-10,4,66.66666666666666
2023-01-11,5,92.6829268292683
2023-01-11,6,87.8048780487805
2023-01-11,7,87.8048780487805
2023-01-11,8,95.1219512195122
2023-01-11,9,100.0
2023-01-11,10,84.61538461538461
2023-01-11,11,76.92307692307693
2023-01-11,12,92.5
2023-01-11,13,95.0
2023-01-11,14,82.5
2023-01-11,15,92.3076923076923
2023-01-11,16,82.5
2023-01-11,17,87.5
2023-01-11,18,75.0
2023-01-11,19,77.5
2023-01-11,1,100.0
2023-01-11,2,82.5
2023-01-11,3,94.87179487179486
2023-01-11,4,71.05263157894737
2023-01-12,9,97.5609756097561
2023-01-12,10,82.92682926829268
2023-01-12,11,77.5
2023-01-12,12,97.5609756097561
2023-01-12,13,95.1219512195122
2023-01-12,14,90.2439024390244
2023-01-12,15,95.1219512195122
2023-01-12,16,70.0
2023-01-12,17,80.48780487804879
2023-01-12,18,68.29268292682927
2023-01-12,19,80.48780487804879
2023-01-12,1,100.0
2023-01-12,2,82.5
2023-01-12,3,92.5
2023-01-12,4,62.5
2023-01-12,5,95.0
2023-01-12,6,92.5
2023-01-12,7,94.87179487179486
2023-01-12,8,97.5
2023-01-13,1,97.5
2023-01-13,2,90.0
2023-01-13,3,87.5
2023-01-13,4,50.0
2023-01-13,5,95.0
2023-01-13,6,94.87179487179486
2023-01-13,7,94.87179487179486
2023-01-13,8,97.43589743589743
2023-01-13,9,100.0
2023-01-13,10,72.97297297297297
2023-01-13,11,66.66666666666666
2023-01-13,12,94.87179487179486
2023-01-13,13,94.87179487179486
2023-01-13,14,97.43589743589743
2023-01-13,15,91.8918918918919
2023-01-13,16,41.02564102564102
2023-01-13,17,70.27027027027027
2023-01-13,18,55.26315789473685
2023-01-13,19,81.57894736842105
2023-01-14,7,87.17948717948718
2023-01-14,8,97.43589743589743
2023-01-14,9,92.10526315789474
2023-01-14,10,67.56756756756756
2023-01-14,11,43.58974358974359
2023-01-14,12,97.43589743589743
2023-01-14,13,97.36842105263158
2023-01-14,14,89.47368421052632
2023-01-14,15,94.5945945945946
2023-01-14,16,76.31578947368422
2023-01-14,17,50.0
2023-01-14,18,60.526315789473685
2023-01-14,19,50.0
2023-01-14,1,100.0
2023-01-14,2,84.21052631578947
2023-01-14,3,97.36842105263158
2023-01-14,4,30.555555555555557
2023-01-14,5,91.8918918918919
2023-01-14,6,100.0
2023-01-15,13,97.22222222222221
2023-01-15,14,88.57142857142857
2023-01-15,15,91.42857142857143
2023-01-15,16,51.42857142857142
2023-01-15,17,0.0
2023-01-15,18,57.14285714285714
2023-01-15,19,0.0
2023-01-15,1,100.0
2023-01-15,2,80.0
2023-01-15,3,100.0
2023-01-15,4,0.0
2023-01-15,5,97.05882352941177
2023-01-15,6,85.71428571428571
2023-01-15,7,88.57142857142857
2023-01-15,8,94.28571428571428
2023-01-15,9,97.14285714285714
2023-01-15,10,71.42857142857143
2023-01-15,11,0.0
2023-01-15,12,97.14285714285714
2023-01-16,15,97.14285714285714
2023-01-16,16,46.875
2023-01-16,17,0.0
2023-01-16,18,57.14285714285714
2023-01-16,19,0.0
2023-01-16,1,100.0
2023-01-16,2,77.14285714285715
2023-01-16,3,85.29411764705883
2023-01-16,4,0.0
2023-01-16,5,88.57142857142857
2023-01-16,6,91.42857142857143
2023-01-16,7,94.28571428571428
2023-01-16,8,94.28571428571428
2023-01-16,9,97.14285714285714
2023-01-16,10,51.42857142857142
2023-01-16,11,0.0
2023-01-16,12,85.71428571428571
2023-01-16,13,91.42857142857143
2023-01-16,14,88.23529411764706
2023-01-17,15,85.71428571428571
2023-01-17,16,29.411764705882355
2023-01-17,17,0.0
2023-01-17,18,41.17647058823529
2023-01-17,19,0.0
2023-01-17,1,100.0
2023-01-17,2,91.42857142857143
2023-01-17,3,94.28571428571428
2023-01-17,4,0.0
2023-01-17,5,97.14285714285714
2023-01-17,6,94.28571428571428
2023-01-17,7,97.14285714285714
2023-01-17,8,100.0
2023-01-17,9,88.57142857142857
2023-01-17,10,37.142857142857146
2023-01-17,11,0.0
2023-01-17,12,97.14285714285714
2023-01-17,13,97.05882352941177
2023-01-17,14,96.96969696969697
2023-01-18,13,97.22222222222221
2023-01-18,14,91.66666666666666
2023-01-18,15,85.71428571428571
2023-01-18,17,0.0
2023-01-18,18,50.0
2023-01-18,19,0.0
2023-01-18,1,100.0
2023-01-18,3,93.93939393939394
2023-01-18,4,0.0
2023-01-18,5,88.57142857142857
2023-01-18,6,88.57142857142857
2023-01-18,7,97.14285714285714
2023-01-18,8,100.0
2023-01-18,9,94.28571428571428
2023-01-18,10,54.285714285714285
2023-01-18,11,0.0
2023-01-18,12,100.0
2023-01-18,16,45.714285714285715
2023-01-18,2,87.87878787878788
2023-01-19,2,94.44444444444444
2023-01-19,3,91.66666666666666
2023-01-19,4,0.0
2023-01-19,5,97.22222222222221
2023-01-19,6,94.44444444444444
2023-01-19,7,97.22222222222221
2023-01-19,8,97.22222222222221
2023-01-19,9,97.22222222222221
2023-01-19,10,63.888888888888886
2023-01-19,11,0.0
2023-01-19,12,100.0
2023-01-19,13,97.22222222222221
2023-01-19,14,94.28571428571428
2023-01-19,15,82.85714285714286
2023-01-19,16,62.5
2023-01-19,17,0.0
2023-01-19,18,57.14285714285714
2023-01-19,19,0.0
2023-01-19,1,100.0
2023-01-20,15,85.71428571428571
2023-01-20,16,48.484848484848484
2023-01-20,17,0.0
2023-01-20,18,62.857142857142854
2023-01-20,19,0.0
2023-01-20,1,100.0
2023-01-20,2,88.57142857142857
2023-01-20,3,94.11764705882352
2023-01-20,4,0.0
2023-01-20,5,94.28571428571428
2023-01-20,6,100.0
2023-01-20,7,85.29411764705883
2023-01-20,8,91.17647058823529
2023-01-20,9,97.05882352941177
2023-01-20,10,44.11764705882353
2023-01-20,11,0.0
2023-01-20,12,97.05882352941177
2023-01-20,13,91.17647058823529
2023-01-20,14,97.05882352941177
2023-01-21,7,94.28571428571428
2023-01-21,8,97.14285714285714
2023-01-21,9,91.42857142857143
2023-01-21,10,54.285714285714285
2023-01-21,11,0.0
2023-01-21,12,97.14285714285714
2023-01-21,13,97.14285714285714
2023-01-21,14,85.71428571428571
2023-01-21,15,85.71428571428571
2023-01-21,16,35.294117647058826
2023-01-21,17,0.0
2023-01-21,18,38.23529411764706
2023-01-21,19,0.0
2023-01-21,1,100.0
2023-01-21,2,85.29411764705883
2023-01-21,3,97.05882352941177
2023-01-21,4,0.0
2023-01-21,5,100.0
2023-01-21,6,88.23529411764706
2023-01-22,1,100.0
2023-01-22,2,91.42857142857143
2023-01-22,3,94.44444444444444
2023-01-22,4,0.0
2023-01-22,5,97.14285714285714
2023-01-22,6,97.14285714285714
2023-01-22,7,97.14285714285714
2023-01-22,8,100.0
2023-01-22,9,94.28571428571428
2023-01-22,10,68.57142857142857
2023-01-22,11,0.0
2023-01-22,12,97.14285714285714
2023-01-22,13,100.0
2023-01-22,14,91.42857142857143
2023-01-22,15,91.17647058823529
2023-01-22,16,34.285714285714285
2023-01-22,17,0.0
2023-01-22,18,34.285714285714285
2023-01-22,19,0.0
2023-01-23,4,0.0
2023-01-23,5,97.22222222222221
2023-01-23,6,91.66666666666666
2023-01-23,7,97.14285714285714
2023-01-23,8,100.0
2023-01-23,9,100.0
2023-01-23,10,66.66666666666666
2023-01-23,11,0.0
2023-01-23,12,100.0
2023-01-23,13,97.22222222222221
2023-01-23,14,91.17647058823529
2023-01-23,15,85.29411764705883
2023-01-23,16,55.88235294117647
2023-01-23,17,0.0
2023-01-23,18,61.76470588235294
2023-01-23,19,0.0
2023-01-23,1,100.0
2023-01-23,2,94.28571428571428
2023-01-23,3,100.0
